clip_name,video_id,url,section,notes
archived_stream,z7KgEnxJo_s,https://www.youtube.com/watch?v=z7KgEnxJo_s,*0:00-2:00,Previous stream; edit section to clip the segment you want for regression.
current_feed,ClennbOVxcI,https://www.youtube.com/watch?v=ClennbOVxcI,*0:00-2:00,Live URL today; after the stream ends replace with the VOD replay URL and re-trim section if needed.
